chargeMV,capacitorMV,digitalMV
5010,141,0
5010,288,0
5010,429,0
5010,566,0
5010,703,0
5010,825,0
5010,947,0
5010,1059,0
5010,1181,0
5010,1289,0
5010,1401,0
5010,1499,0
5010,1596,0
5010,1694,0
5010,1796,0
5010,1884,0
5010,1967,0
5010,2055,0
5010,2138,0
5010,2216,0
5010,2299,0
5010,2377,0
5010,2446,0
5010,2519,0
5010,2587,5000
5010,2651,5000
5010,2714,5000
5010,2783,5000
5010,2836,5000
5010,2900,5000
5010,2954,5000
5010,3017,5000
5010,3066,5000
5010,3120,5000
5010,3164,5000
5010,3212,5000
5010,3266,5000
5010,3310,5000
5010,3359,5000
5010,3398,5000
5010,3442,5000
5010,3481,5000
5010,3525,5000
5010,3559,5000
5010,3598,5000
5010,3632,5000
5010,3671,5000
5010,3701,5000
5010,3740,5000
5010,3769,5000
5010,3798,5000
5010,3828,5000
5010,3857,5000
5010,3886,5000
5010,3916,5000
5010,3945,5000
5010,3964,5000
5010,3994,5000
5010,4018,5000
5010,4047,5000
5010,4067,5000
5010,4091,5000
5010,4111,5000
5010,4130,5000
5010,4155,5000
5010,4169,5000
5010,4194,5000
5010,4213,5000
5010,4233,5000
5010,4248,5000
5010,4267,5000
5010,4277,5000
5010,4296,5000
5010,4311,5000
5010,4326,5000
5010,4345,5000
5010,4360,5000
5010,4375,5000
5010,4384,5000
5010,4399,5000
5010,4414,5000
5010,4423,5000
5010,4438,5000
5010,4448,5000
5010,4462,5000
5010,4477,5000
5010,4482,5000
5010,4497,5000
5010,4501,5000
5010,4516,5000
5010,4526,5000
5010,4531,5000
5010,4541,5000
5010,4550,5000
5010,4560,5000
5010,4570,5000
5010,4575,5000
5010,4584,5000
5010,4589,5000
5010,4599,5000
5010,4604,5000
5010,4614,5000
5010,4624,5000
5010,4628,5000
5010,4633,5000
5010,4638,5000
5010,4648,5000
5010,4648,5000
5010,4658,5000
5010,4663,5000
5010,4667,5000
5010,4677,5000
5010,4677,5000
5010,4687,5000
5010,4687,5000
5010,4697,5000
5010,4697,5000
5010,4702,5000
5010,4707,5000
5010,4711,5000
5010,4716,5000
5010,4721,5000
5010,4726,5000
5010,4726,5000
5010,4731,5000
5010,4736,5000
5010,4736,5000
5010,4746,5000
5010,4746,5000
5010,4746,5000
5010,4750,5000
5010,4750,5000
5010,4760,5000
5010,4760,5000
5010,4765,5000
5010,4765,5000
5010,4770,5000
5010,4770,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4780,5000
5010,4785,5000
5010,4785,5000
5010,4790,5000
5010,4790,5000
5010,4794,5000
5010,4794,5000
5010,4794,5000
5010,4794,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4804,5000
5010,4804,5000
5010,4809,5000
5010,4814,5000
5010,4809,5000
5010,4814,5000
5010,4814,5000
5010,4819,5000
5010,4819,5000
5010,4819,5000
5010,4819,5000
5010,4824,5000
5010,4824,5000
5010,4824,5000
5010,4829,5000
5010,4824,5000
5010,4829,5000
5010,4824,5000
5010,4824,5000
5010,4833,5000
5010,4833,5000
5010,4829,5000
5010,4829,5000
5010,4838,5000
5010,4833,5000
5010,4833,5000
5010,4838,5000
5010,4838,5000
5010,4843,5000
5010,4833,5000
5010,4843,5000
5010,4838,5000
5010,4838,5000
5010,4838,5000
5010,4843,5000
5010,4838,5000
5010,4843,5000
5010,4848,5000
5010,4838,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4843,5000
5010,4843,5000
5010,4843,5000
5010,4848,5000
5010,4853,5000
5010,4848,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4858,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
0,4711,5000
0,4570,5000
0,4433,5000
0,4301,5000
0,4165,5000
0,4042,5000
0,3916,5000
0,3808,5000
0,3691,5000
0,3574,5000
0,3471,5000
0,3369,5000
0,3276,5000
0,3178,5000
0,3081,5000
0,2988,5000
0,2905,5000
0,2812,5000
0,2734,5000
0,2656,5000
0,2578,5000
0,2500,5000
0,2426,5000
0,2358,5000
0,2285,5000
0,2221,5000
0,2158,0
0,2089,0
0,2031,0
0,1972,0
0,1918,0
0,1865,0
0,1806,0
0,1757,0
0,1704,0
0,1655,0
0,1606,0
0,1552,0
0,1513,0
0,1464,0
0,1420,0
0,1386,0
0,1347,0
0,1298,0
0,1264,0
0,1225,0
0,1196,0
0,1157,0
0,1123,0
0,1093,0
0,1059,0
0,1035,0
0,1000,0
0,971,0
0,947,0
0,913,0
0,893,0
0,864,0
0,844,0
0,820,0
0,791,0
0,771,0
0,747,0
0,727,0
0,712,0
0,683,0
0,664,0
0,649,0
0,629,0
0,610,0
0,595,0
0,576,0
0,556,0
0,541,0
0,527,0
0,512,0
0,498,0
0,488,0
0,473,0
0,458,0
0,439,0
0,434,0
0,419,0
0,405,0
0,395,0
0,380,0
0,375,0
0,361,0
0,351,0
0,346,0
0,336,0
0,317,0
0,317,0
0,302,0
0,297,0
0,288,0
0,283,0
0,268,0
0,268,0
0,253,0
0,249,0
0,239,0
0,239,0
0,229,0
0,224,0
0,214,0
0,209,0
0,200,0
0,195,0
0,195,0
0,185,0
0,180,0
0,175,0
0,175,0
0,170,0
0,166,0
0,156,0
0,151,0
0,146,0
0,141,0
0,141,0
0,136,0
0,136,0
0,131,0
0,126,0
0,117,0
0,122,0
0,117,0
0,112,0
0,112,0
0,112,0
0,102,0
0,102,0
0,97,0
0,92,0
0,87,0
0,87,0
0,92,0
0,83,0
0,83,0
0,78,0
0,83,0
0,73,0
0,83,0
0,78,0
0,73,0
0,68,0
0,68,0
0,63,0
0,58,0
0,58,0
0,53,0
0,53,0
0,53,0
0,58,0
0,48,0
0,48,0
0,53,0
0,53,0
0,43,0
0,43,0
0,43,0
0,39,0
0,43,0
0,43,0
0,39,0
0,43,0
0,34,0
0,39,0
0,39,0
0,29,0
0,39,0
0,29,0
0,29,0
0,29,0
0,29,0
0,24,0
0,29,0
0,24,0
0,24,0
0,19,0
0,24,0
0,24,0
0,19,0
0,24,0
0,19,0
0,24,0
0,19,0
0,19,0
0,14,0
0,24,0
0,14,0
0,19,0
0,14,0
0,19,0
0,14,0
0,19,0
0,14,0
0,14,0
0,19,0
0,9,0
0,14,0
0,14,0
0,9,0
0,14,0
0,9,0
0,14,0
0,14,0
0,9,0
0,14,0
0,9,0
0,14,0
0,9,0
0,9,0
0,4,0
0,4,0
0,9,0
0,9,0
0,4,0
0,4,0
0,9,0
0,4,0
0,9,0
0,4,0
0,4,0
0,4,0
0,0,0
0,4,0
0,9,0
0,0,0
0,0,0
0,4,0
0,4,0
0,9,0
0,4,0
0,9,0
0,0,0
0,4,0
0,4,0
0,4,0
0,0,0
0,0,0
0,0,0
0,4,0
0,4,0
0,0,0
0,4,0
0,0,0
0,4,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5010,146,0
5010,292,0
5010,429,0
5010,571,0
5010,693,0
5010,820,0
5010,947,0
5010,1064,0
5010,1171,0
5010,1289,0
5010,1396,0
5010,1494,0
5010,1606,0
5010,1694,0
5010,1796,0
5010,1879,0
5010,1977,0
5010,2055,0
5010,2143,0
5010,2221,0
5010,2299,0
5010,2373,0
5010,2451,0
5010,2519,0
5010,2587,5000
5010,2656,5000
5010,2719,5000
5010,2778,5000
5010,2836,5000
5010,2905,5000
5010,2958,5000
5010,3012,5000
5010,3066,5000
5010,3120,5000
5010,3168,5000
5010,3222,5000
5010,3266,5000
5010,3315,5000
5010,3354,5000
5010,3403,5000
5010,3447,5000
5010,3486,5000
5010,3525,5000
5010,3559,5000
5010,3603,5000
5010,3637,5000
5010,3671,5000
5010,3706,5000
5010,3740,5000
5010,3769,5000
5010,3803,5000
5010,3833,5000
5010,3867,5000
5010,3891,5000
5010,3920,5000
5010,3945,5000
5010,3969,5000
5010,3999,5000
5010,4023,5000
5010,4047,5000
5010,4072,5000
5010,4096,5000
5010,4116,5000
5010,4135,5000
5010,4155,5000
5010,4179,5000
5010,4194,5000
5010,4213,5000
5010,4233,5000
5010,4252,5000
5010,4267,5000
5010,4287,5000
5010,4301,5000
5010,4316,5000
5010,4326,5000
5010,4350,5000
5010,4360,5000
5010,4375,5000
5010,4389,5000
5010,4404,5000
5010,4418,5000
5010,4428,5000
5010,4443,5000
5010,4453,5000
5010,4462,5000
5010,4477,5000
5010,4487,5000
5010,4497,5000
5010,4506,5000
5010,4516,5000
5010,4526,5000
5010,4536,5000
5010,4545,5000
5010,4550,5000
5010,4560,5000
5010,4570,5000
5010,4580,5000
5010,4589,5000
5010,4589,5000
5010,4604,5000
5010,4609,5000
5010,4619,5000
5010,4619,5000
5010,4633,5000
5010,4633,5000
5010,4638,5000
5010,4648,5000
5010,4653,5000
5010,4663,5000
5010,4663,5000
5010,4667,5000
5010,4677,5000
5010,4682,5000
5010,4682,5000
5010,4692,5000
5010,4692,5000
5010,4697,5000
5010,4707,5000
5010,4707,5000
5010,4711,5000
5010,4716,5000
5010,4721,5000
5010,4726,5000
5010,4731,5000
5010,4731,5000
5010,4741,5000
5010,4741,5000
5010,4741,5000
5010,4746,5000
5010,4750,5000
5010,4755,5000
5010,4760,5000
5010,4760,5000
5010,4760,5000
5010,4765,5000
5010,4770,5000
5010,4770,5000
5010,4770,5000
5010,4770,5000
5010,4775,5000
5010,4780,5000
5010,4780,5000
5010,4785,5000
5010,4790,5000
5010,4785,5000
5010,4790,5000
5010,4790,5000
5010,4794,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4809,5000
5010,4804,5000
5010,4809,5000
5010,4809,5000
5010,4814,5000
5010,4819,5000
5010,4809,5000
5010,4814,5000
5010,4814,5000
5010,4814,5000
5010,4819,5000
5010,4819,5000
5010,4824,5000
5010,4824,5000
5010,4829,5000
5010,4824,5000
5010,4829,5000
5010,4829,5000
5010,4829,5000
5010,4833,5000
5010,4829,5000
5010,4833,5000
5010,4833,5000
5010,4833,5000
5010,4833,5000
5010,4833,5000
5010,4838,5000
5010,4838,5000
5010,4838,5000
5010,4838,5000
5010,4833,5000
5010,4833,5000
5010,4838,5000
5010,4843,5000
5010,4838,5000
5010,4843,5000
5010,4843,5000
5010,4843,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4843,5000
5010,4848,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4853,5000
5010,4848,5000
5010,4848,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4853,5000
5010,4858,5000
5010,4853,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4873,5000
5010,4868,5000
5010,4868,5000
5010,4873,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
0,4716,5000
0,4575,5000
0,4428,5000
0,4301,5000
0,4165,5000
0,4042,5000
0,3920,5000
0,3803,5000
0,3691,5000
0,3583,5000
0,3471,5000
0,3378,5000
0,3276,5000
0,3178,5000
0,3081,5000
0,2998,5000
0,2905,5000
0,2817,5000
0,2734,5000
0,2656,5000
0,2578,5000
0,2500,5000
0,2431,5000
0,2358,5000
0,2290,5000
0,2221,5000
0,2158,0
0,2094,0
0,2036,0
0,1972,0
0,1918,0
0,1860,0
0,1806,0
0,1752,0
0,1704,0
0,1650,0
0,1601,0
0,1562,0
0,1508,0
0,1469,0
0,1425,0
0,1386,0
0,1342,0
0,1308,0
0,1259,0
0,1235,0
0,1191,0
0,1157,0
0,1123,0
0,1093,0
0,1059,0
0,1030,0
0,1005,0
0,971,0
0,947,0
0,913,0
0,888,0
0,864,0
0,844,0
0,820,0
0,791,0
0,771,0
0,751,0
0,722,0
0,708,0
0,683,0
0,664,0
0,644,0
0,634,0
0,605,0
0,595,0
0,571,0
0,561,0
0,546,0
0,527,0
0,512,0
0,498,0
0,483,0
0,468,0
0,463,0
0,444,0
0,429,0
0,419,0
0,410,0
0,395,0
0,380,0
0,371,0
0,361,0
0,356,0
0,336,0
0,332,0
0,322,0
0,312,0
0,307,0
0,297,0
0,288,0
0,283,0
0,273,0
0,263,0
0,253,0
0,253,0
0,239,0
0,239,0
0,234,0
0,219,0
0,214,0
0,209,0
0,205,0
0,205,0
0,200,0
0,185,0
0,185,0
0,180,0
0,170,0
0,166,0
0,161,0
0,156,0
0,151,0
0,146,0
0,146,0
0,141,0
0,141,0
0,136,0
0,126,0
0,131,0
0,122,0
0,117,0
0,117,0
0,112,0
0,107,0
0,107,0
0,102,0
0,102,0
0,92,0
0,92,0
0,92,0
0,87,0
0,87,0
0,83,0
0,83,0
0,83,0
0,78,0
0,78,0
0,73,0
0,73,0
0,68,0
0,63,0
0,63,0
0,68,0
0,63,0
0,58,0
0,58,0
0,58,0
0,58,0
0,53,0
0,53,0
0,48,0
0,53,0
0,48,0
0,48,0
0,43,0
0,39,0
0,43,0
0,39,0
0,43,0
0,39,0
0,39,0
0,34,0
0,34,0
0,34,0
0,29,0
0,34,0
0,29,0
0,34,0
0,29,0
0,29,0
0,24,0
0,29,0
0,29,0
0,29,0
0,29,0
0,24,0
0,24,0
0,29,0
0,24,0
0,19,0
0,24,0
0,24,0
0,19,0
0,24,0
0,19,0
0,14,0
0,19,0
0,19,0
0,14,0
0,19,0
0,14,0
0,9,0
0,14,0
0,14,0
0,14,0
0,9,0
0,9,0
0,14,0
0,14,0
0,9,0
0,14,0
0,9,0
0,14,0
0,9,0
0,9,0
0,14,0
0,4,0
0,4,0
0,9,0
0,4,0
0,9,0
0,4,0
0,9,0
0,4,0
0,9,0
0,4,0
0,4,0
0,4,0
0,0,0
0,9,0
0,4,0
0,4,0
0,4,0
0,4,0
0,4,0
0,9,0
0,9,0
0,4,0
0,4,0
0,9,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5010,146,0
5010,297,0
5010,439,0
5010,566,0
5010,708,0
5010,830,0
5010,947,0
5010,1069,0
5010,1181,0
5010,1293,0
5010,1401,0
5010,1503,0
5010,1601,0
5010,1704,0
5010,1796,0
5010,1889,0
5010,1977,0
5010,2060,0
5010,2143,0
5010,2226,0
5010,2304,0
5010,2377,0
5010,2451,0
5010,2524,0
5010,2592,5000
5010,2656,5000
5010,2719,5000
5010,2783,5000
5010,2846,5000
5010,2900,5000
5010,2958,5000
5010,3012,5000
5010,3071,5000
5010,3120,5000
5010,3173,5000
5010,3217,5000
5010,3271,5000
5010,3315,5000
5010,3359,5000
5010,3403,5000
5010,3442,5000
5010,3486,5000
5010,3520,5000
5010,3564,5000
5010,3598,5000
5010,3637,5000
5010,3671,5000
5010,3706,5000
5010,3740,5000
