ms V0 VC Vd
60020 0 4858 5000
60040 0 4755 5000
60060 0 4653 5000
60080 0 4555 5000
60100 0 4458 5000
60120 0 4370 5000
60140 0 4277 5000
60160 0 4189 5000
60180 0 4096 5000
60200 0 4013 5000
60220 0 3930 5000
60240 0 3837 5000
60260 0 3759 5000
60280 0 3676 5000
60300 0 3603 5000
60320 0 3530 5000
60340 0 3457 5000
60360 0 3383 5000
60380 0 3315 5000
60400 0 3242 5000
60420 0 3178 5000
60440 0 3115 5000
60460 0 3046 5000
60480 0 2988 5000
60500 0 2919 5000
60520 0 2861 5000
60540 0 2797 5000
60560 0 2744 5000
60580 0 2685 5000
60600 0 2631 5000
60620 0 2573 5000
60640 0 2524 5000
60660 0 2470 5000
60680 0 2421 5000
60700 0 2373 5000
60720 0 2324 5000
60740 0 2275 5000
60760 0 2231 5000
60780 0 2182 0
60800 0 2138 0
60820 0 2099 0
60840 0 2045 0
60860 0 2011 0
60880 0 1967 0
60900 0 1928 0
60920 0 1884 0
60940 0 1845 0
60960 0 1806 0
60980 0 1772 0
61000 0 1738 0
61020 0 1704 0
61040 0 1665 0
61060 0 1635 0
61080 0 1596 0
61100 0 1567 0
61120 0 1533 0
61140 0 1499 0
61160 0 1474 0
61180 0 1440 0
61200 0 1416 0
61220 0 1381 0
61240 0 1357 0
61260 0 1328 0
61280 0 1303 0
61300 0 1274 0
61320 0 1245 0
61340 0 1220 0
61360 0 1196 0
61380 0 1171 0
61400 0 1147 0
61420 0 1123 0
61440 0 1103 0
61460 0 1079 0
61480 0 1059 0
61500 0 1035 0
61520 0 1015 0
61540 0 996 0
61560 0 976 0
61580 0 957 0
61600 0 937 0
61620 0 922 0
61640 0 898 0
61660 0 883 0
61680 0 864 0
61700 0 839 0
61720 0 830 0
61740 0 810 0
61760 0 795 0
61780 0 776 0
61800 0 761 0
61820 0 747 0
61840 0 732 0
61860 0 717 0
61880 0 703 0
61900 0 688 0
61920 0 673 0
61940 0 659 0
61960 0 649 0
61980 0 639 0
62000 0 625 0
62020 0 605 0
62040 0 600 0
62060 0 585 0
62080 0 571 0
62100 0 561 0
62120 0 546 0
62140 0 537 0
62160 0 527 0
62180 0 517 0
62200 0 507 0
62220 0 498 0
62240 0 488 0
62260 0 478 0
62280 0 463 0
62300 0 458 0
62320 0 444 0
62340 0 449 0
62360 0 429 0
62380 0 424 0
62400 0 415 0
62420 0 405 0
62440 0 395 0
62460 0 395 0
62480 0 380 0
62500 0 371 0
62520 0 366 0
62540 0 356 0
62560 0 351 0
62580 0 346 0
62600 0 332 0
62620 0 332 0
62640 0 322 0
62660 0 322 0
62680 0 312 0
62700 0 307 0
62720 0 307 0
62740 0 288 0
62760 0 292 0
62780 0 283 0
62800 0 278 0
62820 0 268 0
62840 0 268 0
62860 0 258 0
62880 0 253 0
62900 0 249 0
62920 0 239 0
62940 0 239 0
62960 0 234 0
62980 0 224 0
63000 0 229 0
63020 0 224 0
63040 0 219 0
63060 0 214 0
63080 0 209 0
63100 0 205 0
63120 0 200 0
63140 0 200 0
63160 0 190 0
63180 0 190 0
63200 0 185 0
63220 0 180 0
63240 0 175 0
63260 0 175 0
63280 0 175 0
63300 0 161 0
63320 0 161 0
63340 0 161 0
63360 0 156 0
63380 0 151 0
63400 0 151 0
63420 0 151 0
63440 0 146 0
63460 0 146 0
63480 0 141 0
63500 0 136 0
63520 0 136 0
63540 0 131 0
63560 0 126 0
63580 0 126 0
63600 0 122 0
63620 0 122 0
63640 0 122 0
63660 0 122 0
63680 0 112 0
63700 0 112 0
63720 0 107 0
63740 0 107 0
63760 0 107 0
63780 0 97 0
63800 0 102 0
63820 0 97 0
63840 0 92 0
63860 0 92 0
63880 0 87 0
63900 0 92 0
63920 0 87 0
63940 0 92 0
63960 0 83 0
63980 0 83 0
64000 0 83 0
64020 0 78 0
64040 0 78 0
64060 0 78 0
64080 0 73 0
64100 0 78 0
64120 0 78 0
64140 0 73 0
64160 0 68 0
64180 0 68 0
64200 0 68 0
64220 0 68 0
64240 0 68 0
64260 0 63 0
64280 0 63 0
64300 0 63 0
64320 0 63 0
64340 0 53 0
64360 0 58 0
64380 0 58 0
64400 0 53 0
64420 0 58 0
64440 0 48 0
64460 0 53 0
64480 0 53 0
64500 0 48 0
64520 0 48 0
64540 0 48 0
64560 0 48 0
64580 0 48 0
64600 0 48 0
64620 0 43 0
64640 0 43 0
64660 0 43 0
64680 0 43 0
64700 0 43 0
64720 0 39 0
64740 0 43 0
64760 0 39 0
64780 0 39 0
64800 0 39 0
64820 0 39 0
64840 0 39 0
64860 0 29 0
64880 0 34 0
64900 0 34 0
64920 0 29 0
64940 0 39 0
64960 0 29 0
64980 0 39 0
65000 0 29 0
65020 0 29 0
65040 0 29 0
65060 0 29 0
65080 0 39 0
65100 0 24 0
65120 0 29 0
65140 0 24 0
65160 0 24 0
65180 0 24 0
65200 0 24 0
65220 0 24 0
65240 0 19 0
65260 0 19 0
65280 0 19 0
65300 0 19 0
65320 0 24 0
65340 0 19 0
65360 0 24 0
65380 0 19 0
65400 0 19 0
65420 0 19 0
65440 0 14 0
65460 0 24 0
65480 0 14 0
65500 0 24 0
65520 0 24 0
65540 0 14 0
65560 0 14 0
65580 0 14 0
65600 0 14 0
65620 0 14 0
65640 0 19 0
65660 0 19 0
