chargeMV,capacitorMV,digitalMV
5010,146,0
5010,292,0
5010,429,0
5010,571,0
5010,693,0
5010,820,0
5010,947,0
5010,1064,0
5010,1171,0
5010,1289,0
5010,1396,0
5010,1494,0
5010,1606,0
5010,1694,0
5010,1796,0
5010,1879,0
5010,1977,0
5010,2055,0
5010,2143,0
5010,2221,0
5010,2299,0
5010,2373,0
5010,2451,0
5010,2519,0
5010,2587,5000
5010,2656,5000
5010,2719,5000
5010,2778,5000
5010,2836,5000
5010,2905,5000
5010,2958,5000
5010,3012,5000
5010,3066,5000
5010,3120,5000
5010,3168,5000
5010,3222,5000
5010,3266,5000
5010,3315,5000
5010,3354,5000
5010,3403,5000
5010,3447,5000
5010,3486,5000
5010,3525,5000
5010,3559,5000
5010,3603,5000
5010,3637,5000
5010,3671,5000
5010,3706,5000
5010,3740,5000
5010,3769,5000
5010,3803,5000
5010,3833,5000
5010,3867,5000
5010,3891,5000
5010,3920,5000
5010,3945,5000
5010,3969,5000
5010,3999,5000
5010,4023,5000
5010,4047,5000
5010,4072,5000
5010,4096,5000
5010,4116,5000
5010,4135,5000
5010,4155,5000
5010,4179,5000
5010,4194,5000
5010,4213,5000
5010,4233,5000
5010,4252,5000
5010,4267,5000
5010,4287,5000
5010,4301,5000
5010,4316,5000
5010,4326,5000
5010,4350,5000
5010,4360,5000
5010,4375,5000
5010,4389,5000
5010,4404,5000
5010,4418,5000
5010,4428,5000
5010,4443,5000
5010,4453,5000
5010,4462,5000
5010,4477,5000
5010,4487,5000
5010,4497,5000
5010,4506,5000
5010,4516,5000
5010,4526,5000
5010,4536,5000
5010,4545,5000
5010,4550,5000
5010,4560,5000
5010,4570,5000
5010,4580,5000
5010,4589,5000
5010,4589,5000
5010,4604,5000
5010,4609,5000
5010,4619,5000
5010,4619,5000
5010,4633,5000
5010,4633,5000
5010,4638,5000
5010,4648,5000
5010,4653,5000
5010,4663,5000
5010,4663,5000
5010,4667,5000
5010,4677,5000
5010,4682,5000
5010,4682,5000
5010,4692,5000
5010,4692,5000
5010,4697,5000
5010,4707,5000
5010,4707,5000
5010,4711,5000
5010,4716,5000
5010,4721,5000
5010,4726,5000
5010,4731,5000
5010,4731,5000
5010,4741,5000
5010,4741,5000
5010,4741,5000
5010,4746,5000
5010,4750,5000
5010,4755,5000
5010,4760,5000
5010,4760,5000
5010,4760,5000
5010,4765,5000
5010,4770,5000
5010,4770,5000
5010,4770,5000
5010,4770,5000
5010,4775,5000
5010,4780,5000
5010,4780,5000
5010,4785,5000
5010,4790,5000
5010,4785,5000
5010,4790,5000
5010,4790,5000
5010,4794,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4799,5000
5010,4809,5000
5010,4804,5000
5010,4809,5000
5010,4809,5000
5010,4814,5000
5010,4819,5000
5010,4809,5000
5010,4814,5000
5010,4814,5000
5010,4814,5000
5010,4819,5000
5010,4819,5000
5010,4824,5000
5010,4824,5000
5010,4829,5000
5010,4824,5000
5010,4829,5000
5010,4829,5000
5010,4829,5000
5010,4833,5000
5010,4829,5000
5010,4833,5000
5010,4833,5000
5010,4833,5000
5010,4833,5000
5010,4833,5000
5010,4838,5000
5010,4838,5000
5010,4838,5000
5010,4838,5000
5010,4833,5000
5010,4833,5000
5010,4838,5000
5010,4843,5000
5010,4838,5000
5010,4843,5000
5010,4843,5000
5010,4843,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4843,5000
5010,4848,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4843,5000
5010,4848,5000
5010,4848,5000
5010,4848,5000
5010,4853,5000
5010,4848,5000
5010,4848,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4853,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4853,5000
5010,4858,5000
5010,4853,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4858,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4858,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4873,5000
5010,4868,5000
5010,4868,5000
5010,4873,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4863,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
5010,4868,5000
