chargeMV,capacitorMV,digitalMV
0,4633,5000
0,4531,5000
0,4423,5000
0,4331,5000
0,4233,5000
0,4140,5000
0,4047,5000
0,3964,5000
0,3876,5000
0,3789,5000
0,3710,5000
0,3627,5000
0,3549,5000
0,3471,5000
0,3398,5000
0,3325,5000
0,3256,5000
0,3183,5000
0,3120,5000
0,3051,5000
0,2988,5000
0,2924,5000
0,2861,5000
0,2802,5000
0,2739,5000
0,2680,5000
0,2626,5000
0,2568,5000
0,2514,5000
0,2460,5000
0,2407,5000
0,2358,5000
0,2309,5000
0,2265,5000
0,2211,5000
0,2167,5000
0,2119,0
0,2080,0
0,2031,0
0,1992,0
0,1948,0
0,1904,0
0,1870,0
0,1831,0
0,1791,0
0,1752,0
0,1718,0
0,1679,0
0,1645,0
0,1611,0
0,1577,0
0,1542,0
0,1513,0
0,1479,0
0,1450,0
0,1420,0
0,1391,0
0,1362,0
0,1333,0
0,1303,0
0,1279,0
0,1250,0
0,1225,0
0,1201,0
0,1176,0
0,1152,0
0,1127,0
0,1103,0
0,1079,0
0,1059,0
0,1035,0
0,1015,0
0,991,0
0,971,0
0,952,0
0,932,0
0,913,0
0,893,0
0,874,0
0,859,0
0,839,0
0,820,0
0,805,0
0,791,0
0,771,0
0,756,0
0,742,0
0,727,0
0,712,0
0,698,0
0,683,0
0,668,0
0,654,0
0,639,0
0,629,0
0,615,0
0,605,0
0,590,0
0,576,0
0,566,0
0,551,0
0,541,0
0,532,0
0,522,0
0,512,0
0,498,0
0,488,0
0,478,0
0,468,0
0,458,0
0,454,0
0,439,0
0,429,0
0,424,0
0,415,0
0,405,0
0,395,0
0,390,0
0,380,0
0,375,0
0,366,0
0,356,0
0,351,0
0,341,0
0,336,0
0,327,0
0,322,0
0,317,0
0,312,0
0,302,0
0,297,0
0,292,0
0,288,0
0,278,0
0,273,0
0,268,0
0,263,0
0,258,0
0,249,0
0,244,0
0,244,0
0,239,0
0,234,0
0,229,0
0,224,0
0,219,0
0,214,0
0,209,0
0,205,0
0,200,0
0,200,0
0,195,0
0,190,0
0,185,0
0,180,0
0,175,0
0,175,0
0,170,0
0,166,0
0,166,0
0,161,0
0,156,0
0,151,0
0,151,0
0,146,0
0,146,0
0,141,0
0,136,0
0,136,0
0,136,0
0,131,0
0,126,0
0,126,0
0,122,0
0,122,0
0,117,0
0,117,0
0,112,0
0,107,0
0,107,0
0,107,0
0,102,0
0,102,0
0,97,0
0,97,0
0,92,0
0,92,0
0,92,0
0,87,0
0,87,0
0,87,0
0,83,0
0,83,0
0,78,0
0,78,0
0,78,0
0,73,0
0,78,0
0,73,0
0,73,0
0,68,0
0,68,0
0,68,0
0,63,0
0,63,0
0,63,0
0,63,0
0,63,0
0,58,0
0,58,0
0,58,0
0,53,0
0,53,0
0,53,0
0,53,0
0,48,0
0,48,0
0,48,0
0,48,0
0,48,0
0,48,0
0,43,0
0,43,0
0,43,0
0,43,0
0,39,0
0,39,0
0,39,0
0,39,0
0,39,0
0,39,0
0,34,0
0,34,0
0,34,0
0,34,0
0,34,0
0,34,0
0,29,0
0,29,0
0,34,0
0,29,0
0,29,0
0,29,0
0,29,0
0,29,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,24,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,19,0
0,14,0
0,19,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,14,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,14,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,4,0
0,4,0
